# ###################################################
# INSTITUTO GEOFÍSICO -ESCUELA POLITÉCNICA NACIONAL #
#                                                   #
#                                                    
# IG-EPN Catálogo Sísmico Instrumental del Ecuador
# Copyright (C) Instituto Geofísico - Escuela Politécnica Nacional
# Quito - Ecuador
# https://www.igepn.edu.ec/
# Fecha de generación: 22-Jan-2026
# 
# 
# Estos datos corresponden a las magnitudes de los eventos sismicos
# Los eventos son los de magnitudes 3.5 o más y registrados en Ecuador
# 
# Explicacion de los campos incluidos:
#
# event:                  código del evento al cual están asociadas las magnitudes
# orig_id:                identificador del evento sísmico al cual se asocian las magnitudes
# magnitude_value:        valor de la magnitud calculada y promediada 
# magnitude_uncertainty:  incertidumbre en el calculo de la magnitud
# magnitude_type:         tipo de magnitud
# methodID:               método para el cálculo de las magnitudes
# stationCount:           número de estaciones con la que se calculó la magnitud
# agencyID:               fuente de generación de los datos
# 
#
#event,orig_id, magnitude_value, magnitude_uncertainty, magnitude_type, methodID, stationCount, agencyID
igepn2016htsl,  97519,  4.2, 0.12,     Mjma,         trimmed mean,   10,  IG-EPN
igepn2016htsl,  97519,  4.2, 0.18,   Ms(BB),         trimmed mean,   10,  IG-EPN
igepn2016htsl,  97519,  4.2,  NaN,        M,     weighted average,   10,  IG-EPN
igepn2016htrp,  97514,  4.9, 0.08,      MLv,                 mean,    4,  IG-EPN
igepn2016htrp,  97514,  4.9, 0.06,     Mjma,                 mean,    2,  IG-EPN
igepn2016htrp,  97514,  4.4, 0.51,   Ms(BB),                 mean,    2,  IG-EPN
igepn2016htrp,  97514,  4.7,  NaN,        M,     weighted average,    4,  IG-EPN
igepn2016htsn,  97520,  3.5, 0.15,      MLv,         trimmed mean,   11,  IG-EPN
igepn2016htsn,  97520,  3.9, 0.15,     Mjma,         trimmed mean,   11,  IG-EPN
igepn2016htsn,  97520,  3.5, 0.14,   Ms(BB),         trimmed mean,    7,  IG-EPN
igepn2016htsn,  97520,  3.6,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2016htsp,  97521,  3.4, 0.14,      MLv,         trimmed mean,    9,  IG-EPN
igepn2016htsp,  97521,  3.9, 0.16,     Mjma,         trimmed mean,    9,  IG-EPN
igepn2016htsp,  97521,  3.5, 0.22,   Ms(BB),         trimmed mean,    6,  IG-EPN
igepn2016htsp,  97521,  3.6,  NaN,        M,     weighted average,    9,  IG-EPN
igepn2016htsz,  97522,  3.3, 0.17,      MLv,         trimmed mean,   12,  IG-EPN
igepn2016htsz,  97522,  3.8, 0.09,     Mjma,         trimmed mean,   12,  IG-EPN
igepn2016htsz,  97522,  3.5, 0.06,   Ms(BB),         trimmed mean,    9,  IG-EPN
igepn2016htsz,  97522,  3.5,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2016htvw,  97530,  4.9, 0.25,      MLv,         trimmed mean,    8,  IG-EPN
igepn2016htvw,  97530,  4.8, 0.17,     Mjma,         trimmed mean,    8,  IG-EPN
igepn2016htvw,  97530,  4.6, 0.21,   Ms(BB),         trimmed mean,   13,  IG-EPN
igepn2016htvw,  97530,  4.8,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016htxd,  97535,  4.0, 0.14,      MLv,         trimmed mean,   17,  IG-EPN
igepn2016htxd,  97535,  4.0, 0.15,     Mjma,         trimmed mean,   17,  IG-EPN
igepn2016htxd,  97535,  3.7, 0.16,   Ms(BB),         trimmed mean,   14,  IG-EPN
igepn2016htxd,  97535,  3.9,  NaN,        M,     weighted average,   17,  IG-EPN
igepn2016htxn,  97537,  4.2, 0.19,      MLv,         trimmed mean,   25,  IG-EPN
igepn2016htxn,  97537,  4.0, 0.14,     Mjma,         trimmed mean,   25,  IG-EPN
igepn2016htxn,  97537,  4.0, 0.18,   Ms(BB),         trimmed mean,   23,  IG-EPN
igepn2016htxn,  97537,  4.0,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2016htxo,  97538,  4.1, 0.23,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016htxo,  97538,  4.0, 0.15,     Mjma,         trimmed mean,   13,  IG-EPN
igepn2016htxo,  97538,  4.0, 0.24,   Ms(BB),         trimmed mean,   20,  IG-EPN
igepn2016htxo,  97538,  4.0,  NaN,        M,     weighted average,   20,  IG-EPN
igepn2016htyh,  97541,  3.5, 0.34,      MLv,         trimmed mean,    7,  IG-EPN
igepn2016htyh,  97541,  3.5, 0.22,     Mjma,         trimmed mean,    7,  IG-EPN
igepn2016htyh,  97541,  3.5, 0.50,   Ms(BB),         trimmed mean,    4,  IG-EPN
igepn2016htyh,  97541,  3.5,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016huch,  97555,  3.6, 0.09,      MLv,         trimmed mean,    6,  IG-EPN
igepn2016huch,  97555,  3.6, 0.08,     Mjma,         trimmed mean,    6,  IG-EPN
igepn2016huch,  97555,  3.7, 0.29,   Ms(BB),         trimmed mean,   10,  IG-EPN
igepn2016huch,  97555,  3.7,  NaN,        M,     weighted average,   10,  IG-EPN
igepn2016hucu,  97557,  4.0, 0.15,      MLv,         trimmed mean,   16,  IG-EPN
igepn2016hucu,  97557,  4.0, 0.12,     Mjma,         trimmed mean,   16,  IG-EPN
igepn2016hucu,  97557,  3.8, 0.08,   Ms(BB),         trimmed mean,   15,  IG-EPN
igepn2016hucu,  97557,  3.9,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2016hucx,  97558,  3.6, 0.09,      MLv,         trimmed mean,    5,  IG-EPN
igepn2016hucx,  97558,  3.7, 0.10,     Mjma,         trimmed mean,    5,  IG-EPN
igepn2016hucx,  97558,  4.2, 2.20,   Ms(BB),         trimmed mean,    6,  IG-EPN
igepn2016hucx,  97558,  3.8,  NaN,        M,     weighted average,    6,  IG-EPN
igepn2016hueg,  97562,  3.8, 0.21,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016hueg,  97562,  3.6, 0.21,     Mjma,         trimmed mean,   13,  IG-EPN
igepn2016hueg,  97562,  3.7, 0.29,   Ms(BB),         trimmed mean,   11,  IG-EPN
igepn2016hueg,  97562,  3.7,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hufr,  97566,  5.0, 0.15,      MLv,         trimmed mean,   26,  IG-EPN
igepn2016hufr,  97566,  4.9, 0.15,     Mjma,         trimmed mean,   26,  IG-EPN
igepn2016hufr,  97566,  4.6, 0.17,   Ms(BB),         trimmed mean,   30,  IG-EPN
igepn2016hufr,  97566,  4.8,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2016huga,  97568,  4.9, 0.15,      MLv,         trimmed mean,   30,  IG-EPN
igepn2016huga,  97568,  5.0, 0.15,     Mjma,         trimmed mean,   30,  IG-EPN
igepn2016huga,  97568,  4.6, 0.21,   Ms(BB),         trimmed mean,   37,  IG-EPN
igepn2016huga,  97568,  4.8,  NaN,        M,     weighted average,   37,  IG-EPN
igepn2016hufq,  97565,  3.6, 0.17,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016hufq,  97565,  3.5, 0.08,     Mjma,         trimmed mean,   12,  IG-EPN
igepn2016hufq,  97565,  3.5,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hufy,  97567,  4.3, 0.19,      MLv,         trimmed mean,   10,  IG-EPN
igepn2016hufy,  97567,  4.2, 0.15,     Mjma,         trimmed mean,   10,  IG-EPN
igepn2016hufy,  97567,  4.2, 0.26,   Ms(BB),         trimmed mean,   13,  IG-EPN
igepn2016hufy,  97567,  4.2,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hugi,  97569,  3.4, 0.44,      MLv,                 mean,    3,  IG-EPN
igepn2016hugi,  97569,  3.5, 0.12,     Mjma,                 mean,    3,  IG-EPN
igepn2016hugi,  97569,  3.8, 0.00,   Ms(BB),                 mean,    1,  IG-EPN
igepn2016hugi,  97569,  3.5,  NaN,        M,     weighted average,    3,  IG-EPN
igepn2016huhq,  97575,  3.6, 0.20,      MLv,     trimmed mean(25),    7,  IG-EPN
igepn2016huhq,  97575,  3.7, 0.14,     Mjma,     trimmed mean(25),    7,  IG-EPN
igepn2016huhq,  97575,  3.7,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016hulz,  97584,  3.6, 0.07,      MLv,                 mean,    7,  IG-EPN
igepn2016hulz,  97584,  3.6, 0.09,     Mjma,         trimmed mean,   11,  IG-EPN
igepn2016hulz,  97584,  3.4, 0.15,   Ms(BB),         trimmed mean,   11,  IG-EPN
igepn2016hulz,  97584,  3.5,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2016humr,  97587,  4.0, 0.20,      MLv,         trimmed mean,    6,  IG-EPN
igepn2016humr,  97587,  3.7, 0.12,     Mjma,         trimmed mean,    6,  IG-EPN
igepn2016humr,  97587,  3.8, 0.23,   Ms(BB),         trimmed mean,    8,  IG-EPN
igepn2016humr,  97587,  3.8,  NaN,        M,     weighted average,    8,  IG-EPN
igepn2016huoa,  97593,  3.9, 0.11,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016huoa,  97593,  3.6, 0.10,     Mjma,         trimmed mean,   13,  IG-EPN
igepn2016huoa,  97593,  3.5, 0.19,   Ms(BB),         trimmed mean,   13,  IG-EPN
igepn2016huoa,  97593,  3.7,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hupx,  97596,  5.3, 0.19,      MLv,         trimmed mean,   36,  IG-EPN
igepn2016hupx,  97596,  6.1, 0.00,       mb,                 mean,    1,  IG-EPN
igepn2016hupx,  97596,  6.1, 0.00,       mB,                 mean,    1,  IG-EPN
igepn2016hupx,  97596,  5.8, 0.40,   Mw(mB),                     ,    1,  IG-EPN
igepn2016hupx,  97596,  5.2, 0.15,     Mjma,     trimmed mean(25),   36,  IG-EPN
igepn2016hupx,  97596,  5.0, 0.22,   Ms(BB),         trimmed mean,   18,  IG-EPN
igepn2016hupx,  97596,  5.4,  NaN,        M,     weighted average,   36,  IG-EPN
igepn2016husd,  97600,  3.8, 0.26,      MLv,         trimmed mean,   12,  IG-EPN
igepn2016husd,  97600,  4.1, 0.13,     Mjma,         trimmed mean,   12,  IG-EPN
igepn2016husd,  97600,  3.9, 0.33,   Ms(BB),         trimmed mean,   11,  IG-EPN
igepn2016husd,  97600,  4.0,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2016husl,  97602,  3.8, 0.28,      MLv,         trimmed mean,   15,  IG-EPN
igepn2016husl,  97602,  3.6, 0.17,     Mjma,         trimmed mean,   15,  IG-EPN
igepn2016husl,  97602,  3.5, 0.30,   Ms(BB),         trimmed mean,   15,  IG-EPN
igepn2016husl,  97602,  3.6,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2016huyc,  97622,  3.9, 0.24,      MLv,         trimmed mean,   21,  IG-EPN
igepn2016huyc,  97622,  3.7, 0.20,     Mjma,         trimmed mean,   21,  IG-EPN
igepn2016huyc,  97622,  3.9, 0.35,   Ms(BB),         trimmed mean,   30,  IG-EPN
igepn2016huyc,  97622,  3.8,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2016huys,  97624,  4.3, 0.33,      MLv,                 mean,   19,  IG-EPN
igepn2016huys,  97624,  4.1, 0.25,     Mjma,                 mean,   19,  IG-EPN
igepn2016huys,  97624,  4.0, 0.38,   Ms(BB),                 mean,   23,  IG-EPN
igepn2016huys,  97624,  4.2,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2016hvdw,  97639,  4.1, 0.25,      MLv,                 mean,   19,  IG-EPN
igepn2016hvdw,  97639,  3.8, 0.34,     Mjma,                 mean,   21,  IG-EPN
igepn2016hvdw,  97639,  4.0, 0.33,   Ms(BB),                 mean,   24,  IG-EPN
igepn2016hvdw,  97639,  4.0,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2016hven,  97643,  4.0, 0.14,      MLv,         trimmed mean,   19,  IG-EPN
igepn2016hven,  97643,  3.9, 0.16,     Mjma,         trimmed mean,   19,  IG-EPN
igepn2016hven,  97643,  4.0, 0.30,   Ms(BB),         trimmed mean,   26,  IG-EPN
igepn2016hven,  97643,  4.0,  NaN,        M,     weighted average,   26,  IG-EPN
igepn2016hvew,  97645,  3.6, 0.20,      MLv,         trimmed mean,    7,  IG-EPN
igepn2016hvew,  97645,  3.5, 0.22,     Mjma,         trimmed mean,    7,  IG-EPN
igepn2016hvew,  97645,  3.8, 0.36,   Ms(BB),         trimmed mean,    5,  IG-EPN
igepn2016hvew,  97645,  3.6,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016hvta,  97675,  4.0, 0.18,      MLv,         trimmed mean,   28,  IG-EPN
igepn2016hvta,  97675,  3.8, 0.15,     Mjma,         trimmed mean,   28,  IG-EPN
igepn2016hvta,  97675,  3.7, 0.17,   Ms(BB),         trimmed mean,   24,  IG-EPN
igepn2016hvta,  97675,  3.8,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2016hvtp,  97678,  4.8, 0.23,      MLv,     trimmed mean(25),   27,  IG-EPN
igepn2016hvtp,  97678,  4.6, 0.17,     Mjma,     trimmed mean(25),   27,  IG-EPN
igepn2016hvtp,  97678,  4.5, 0.23,   Ms(BB),         trimmed mean,   25,  IG-EPN
igepn2016hvtp,  97678,  4.6,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2016hvtm,  97677,  3.0, 0.31,      MLv,                 mean,    2,  IG-EPN
igepn2016hvtm,  97677,  3.1, 0.38,     Mjma,                 mean,    2,  IG-EPN
igepn2016hvtm,  97677,  7.5, 6.32,   Ms(BB),                 mean,    2,  IG-EPN
igepn2016hvtm,  97677,  4.5,  NaN,        M,     weighted average,    2,  IG-EPN
igepn2016hvuf,  97679,  4.0, 0.20,      MLv,         trimmed mean,   18,  IG-EPN
igepn2016hvuf,  97679,  3.7, 0.16,     Mjma,         trimmed mean,   18,  IG-EPN
igepn2016hvuf,  97679,  3.9, 0.28,   Ms(BB),         trimmed mean,   24,  IG-EPN
igepn2016hvuf,  97679,  3.9,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2016hvvb,  97680,  4.5, 0.15,      MLv,         trimmed mean,   34,  IG-EPN
igepn2016hvvb,  97680,  4.3, 0.13,     Mjma,         trimmed mean,   34,  IG-EPN
igepn2016hvvb,  97680,  4.1, 0.19,   Ms(BB),         trimmed mean,   33,  IG-EPN
igepn2016hvvb,  97680,  4.3,  NaN,        M,     weighted average,   34,  IG-EPN
igepn2016hvwi,  97684,  4.7, 0.17,      MLv,         trimmed mean,   21,  IG-EPN
igepn2016hvwi,  97684,  4.5, 0.08,     Mjma,         trimmed mean,   21,  IG-EPN
igepn2016hvwi,  97684,  4.4, 0.16,   Ms(BB),         trimmed mean,   30,  IG-EPN
igepn2016hvwi,  97684,  4.5,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2016hvxk,  97686,  3.6, 0.12,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016hvxk,  97686,  3.5, 0.08,     Mjma,         trimmed mean,   13,  IG-EPN
igepn2016hvxk,  97686,  3.7, 0.43,   Ms(BB),         trimmed mean,    5,  IG-EPN
igepn2016hvxk,  97686,  3.6,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hnnl,  96899,  5.1, 0.32,      MLv,         trimmed mean,   37,  IG-EPN
igepn2016hnnl,  96899,  5.1,  NaN,        M,     weighted average,   37,  IG-EPN
igepn2016hwvk,  97731,  4.2, 1.86,      MLv,                 mean,    3,  IG-EPN
igepn2016hwvk,  97731,  5.0, 2.01,     Mjma,                 mean,    2,  IG-EPN
igepn2016hwvk,  97731,  4.1, 1.80,   Ms(BB),                 mean,    3,  IG-EPN
igepn2016hwvk,  97731,  4.4,  NaN,        M,     weighted average,    3,  IG-EPN
igepn2016hwwk,  97734,  6.3, 0.15,      MLv,         trimmed mean,   31,  IG-EPN
igepn2016hwwk,  97734,  6.5, 0.16,     Mjma,         trimmed mean,   31,  IG-EPN
igepn2016hwwk,  97734,  5.7, 0.54,   Ms(BB),         trimmed mean,   50,  IG-EPN
igepn2016hwwk,  97734,  6.2,  NaN,        M,     weighted average,   50,  IG-EPN
igepn2016hwwy,  97739,  6.2, 0.17,      MLv,         trimmed mean,   33,  IG-EPN
igepn2016hwwy,  97739,  6.2, 0.12,     Mjma,         trimmed mean,   33,  IG-EPN
igepn2016hwwy,  97739,  5.6, 0.48,   Ms(BB),         trimmed mean,   49,  IG-EPN
igepn2016hwwy,  97739,  6.0,  NaN,        M,     weighted average,   49,  IG-EPN
igepn2016hwwq,  97737,  4.5, 0.17,      MLv,         trimmed mean,   17,  IG-EPN
igepn2016hwwq,  97737,  5.4, 0.15,     Mjma,         trimmed mean,   17,  IG-EPN
igepn2016hwwq,  97737,  4.7, 0.20,   Ms(BB),         trimmed mean,   25,  IG-EPN
igepn2016hwwq,  97737,  4.9,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2016hwww,  97738,  3.9, 0.58,      MLv,         trimmed mean,    7,  IG-EPN
igepn2016hwww,  97738,  4.9, 0.57,     Mjma,         trimmed mean,    7,  IG-EPN
igepn2016hwww,  97738,  4.3, 0.28,   Ms(BB),         trimmed mean,    7,  IG-EPN
igepn2016hwww,  97738,  4.4,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016hwyg,  97744,  3.4, 0.23,      MLv,     trimmed mean(25),    6,  IG-EPN
igepn2016hwyg,  97744,  3.8, 0.08,     Mjma,     trimmed mean(25),    6,  IG-EPN
igepn2016hwyg,  97744,  3.6, 0.80,   Ms(BB),         trimmed mean,    6,  IG-EPN
igepn2016hwyg,  97744,  3.6,  NaN,        M,     weighted average,    6,  IG-EPN
igepn2016hwyb,  97743,  3.4, 0.23,      MLv,         trimmed mean,    8,  IG-EPN
igepn2016hwyb,  97743,  3.8, 0.27,     Mjma,         trimmed mean,    8,  IG-EPN
igepn2016hwyb,  97743,  3.6, 0.12,   Ms(BB),         trimmed mean,    6,  IG-EPN
igepn2016hwyb,  97743,  3.6,  NaN,        M,     weighted average,    8,  IG-EPN
igepn2016hwyk,  97745,  4.3, 0.29,      MLv,         trimmed mean,   31,  IG-EPN
igepn2016hwyk,  97745,  4.2, 0.19,     Mjma,         trimmed mean,   31,  IG-EPN
igepn2016hwyk,  97745,  4.3, 0.28,   Ms(BB),         trimmed mean,   42,  IG-EPN
igepn2016hwyk,  97745,  4.2,  NaN,        M,     weighted average,   42,  IG-EPN
igepn2016hwyp,  97746,  3.3, 0.23,      MLv,         trimmed mean,    5,  IG-EPN
igepn2016hwyp,  97746,  3.8, 0.43,     Mjma,         trimmed mean,    5,  IG-EPN
igepn2016hwyp,  97746,  3.7, 0.24,   Ms(BB),         trimmed mean,    7,  IG-EPN
igepn2016hwyp,  97746,  3.6,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016hwyu,  97747,  3.9, 0.44,      MLv,         trimmed mean,    7,  IG-EPN
igepn2016hwyu,  97747,  4.0, 0.21,     Mjma,         trimmed mean,    7,  IG-EPN
igepn2016hwyu,  97747,  3.9, 0.63,   Ms(BB),         trimmed mean,   11,  IG-EPN
igepn2016hwyu,  97747,  3.9,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2016hwxt,  97741,  4.6, 1.72,      MLv,                 mean,    3,  IG-EPN
igepn2016hwxt,  97741,  5.2, 1.83,     Mjma,                 mean,    3,  IG-EPN
igepn2016hwxt,  97741,  4.1, 1.41,   Ms(BB),         trimmed mean,    4,  IG-EPN
igepn2016hwxt,  97741,  4.6,  NaN,        M,     weighted average,    4,  IG-EPN
igepn2016hwzc,  97748,  4.7, 0.17,      MLv,         trimmed mean,   26,  IG-EPN
igepn2016hwzc,  97748,  4.4, 0.14,     Mjma,         trimmed mean,   26,  IG-EPN
igepn2016hwzc,  97748,  4.4, 0.24,   Ms(BB),         trimmed mean,   36,  IG-EPN
igepn2016hwzc,  97748,  4.5,  NaN,        M,     weighted average,   36,  IG-EPN
igepn2016hwzh,  97749,  5.3, 0.18,      MLv,         trimmed mean,   27,  IG-EPN
igepn2016hwzh,  97749,  5.3, 0.18,     Mjma,         trimmed mean,   27,  IG-EPN
igepn2016hwzh,  97749,  4.9, 0.26,   Ms(BB),         trimmed mean,   40,  IG-EPN
igepn2016hwzh,  97749,  5.2,  NaN,        M,     weighted average,   40,  IG-EPN
igepn2016hwxg,  97740,  3.8, 0.38,      MLv,         trimmed mean,    5,  IG-EPN
igepn2016hwxg,  97740,  4.8, 0.37,     Mjma,         trimmed mean,    5,  IG-EPN
igepn2016hwxg,  97740,  4.6, 2.11,   Ms(BB),         trimmed mean,    6,  IG-EPN
igepn2016hwxg,  97740,  4.4,  NaN,        M,     weighted average,    6,  IG-EPN
igepn2016hxab,  97750,  3.4, 0.11,      MLv,         trimmed mean,    4,  IG-EPN
igepn2016hxab,  97750,  3.7, 0.09,     Mjma,         trimmed mean,    4,  IG-EPN
igepn2016hxab,  97750,  4.2, 3.05,   Ms(BB),         trimmed mean,    5,  IG-EPN
igepn2016hxab,  97750,  3.8,  NaN,        M,     weighted average,    5,  IG-EPN
igepn2016hxar,  97752,  3.5, 0.70,      MLv,         trimmed mean,    7,  IG-EPN
igepn2016hxar,  97752,  3.5,  NaN,        M,     weighted average,    7,  IG-EPN
igepn2016hxbm,  97753,  4.3, 0.17,      MLv,         trimmed mean,   28,  IG-EPN
igepn2016hxbm,  97753,  4.2, 0.16,     Mjma,         trimmed mean,   28,  IG-EPN
igepn2016hxbm,  97753,  4.2, 0.27,   Ms(BB),         trimmed mean,   32,  IG-EPN
igepn2016hxbm,  97753,  4.2,  NaN,        M,     weighted average,   32,  IG-EPN
igepn2016hxbz,  97754,  3.8, 0.34,      MLv,         trimmed mean,   17,  IG-EPN
igepn2016hxbz,  97754,  3.6, 0.25,     Mjma,         trimmed mean,   17,  IG-EPN
igepn2016hxbz,  97754,  4.0, 0.27,   Ms(BB),         trimmed mean,   22,  IG-EPN
igepn2016hxbz,  97754,  3.8,  NaN,        M,     weighted average,   22,  IG-EPN
igepn2016hxcc,  97755,  3.5, 0.32,      MLv,         trimmed mean,   13,  IG-EPN
igepn2016hxcc,  97755,  3.5, 0.21,     Mjma,         trimmed mean,   13,  IG-EPN
igepn2016hxcc,  97755,  3.5, 0.40,   Ms(BB),         trimmed mean,    9,  IG-EPN
igepn2016hxcc,  97755,  3.5,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2016hxcu,  97757,  4.4, 0.18,      MLv,         trimmed mean,   29,  IG-EPN
igepn2016hxcu,  97757,  4.2, 0.17,     Mjma,         trimmed mean,   29,  IG-EPN
igepn2016hxcu,  97757,  4.2, 0.27,   Ms(BB),         trimmed mean,   37,  IG-EPN
igepn2016hxcu,  97757,  4.3,  NaN,        M,     weighted average,   37,  IG-EPN
igepn2016hxeq,  97760,  3.8, 0.23,      MLv,         trimmed mean,   17,  IG-EPN
igepn2016hxeq,  97760,  3.6, 0.14,     Mjma,         trimmed mean,   17,  IG-EPN
igepn2016hxeq,  97760,  3.6, 0.24,   Ms(BB),         trimmed mean,   16,  IG-EPN
igepn2016hxeq,  97760,  3.7,  NaN,        M,     weighted average,   17,  IG-EPN
igepn2016hxfo,  97762,  4.0, 0.20,      MLv,         trimmed mean,   23,  IG-EPN
igepn2016hxfo,  97762,  3.8, 0.19,     Mjma,         trimmed mean,   23,  IG-EPN
igepn2016hxfo,  97762,  3.8, 0.19,   Ms(BB),         trimmed mean,   21,  IG-EPN
igepn2016hxfo,  97762,  3.8,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2016hxgh,  97763,  3.8, 0.74,      MLv,         trimmed mean,    9,  IG-EPN
igepn2016hxgh,  97763,  3.7, 0.60,     Mjma,         trimmed mean,    9,  IG-EPN
igepn2016hxgh,  97763,  3.7, 0.79,   Ms(BB),         trimmed mean,    9,  IG-EPN
igepn2016hxgh,  97763,  3.7,  NaN,        M,     weighted average,    9,  IG-EPN
igepn2016hxhx,  97766,  5.3, 0.17,      MLv,         trimmed mean,   23,  IG-EPN
igepn2016hxhx,  97766,  5.3, 0.17,     Mjma,         trimmed mean,   23,  IG-EPN
igepn2016hxhx,  97766,  4.9, 0.22,   Ms(BB),         trimmed mean,   33,  IG-EPN
igepn2016hxhx,  97766,  5.2,  NaN,        M,     weighted average,   33,  IG-EPN
igepn2016hxjh,  97769,  3.6, 0.21,      MLv,         trimmed mean,   11,  IG-EPN
igepn2016hxjh,  97769,  3.5, 0.10,     Mjma,         trimmed mean,   11,  IG-EPN
igepn2016hxjh,  97769,  3.6, 0.38,   Ms(BB),         trimmed mean,   15,  IG-EPN
igepn2016hxjh,  97769,  3.6,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2016hxll,  97777,  4.8, 0.21,      MLv,         trimmed mean,   26,  IG-EPN
igepn2016hxll,  97777,  5.7, 0.00,       mb,                 mean,    1,  IG-EPN
igepn2016hxll,  97777,  5.6, 0.00,       mB,                 mean,    1,  IG-EPN
igepn2016hxll,  97777,  5.2, 0.40,   Mw(mB),                     ,    1,  IG-EPN
igepn2016hxll,  97777,  4.5, 0.19,     Mjma,         trimmed mean,   26,  IG-EPN
igepn2016hxll,  97777,  4.4, 0.26,   Ms(BB),         trimmed mean,   37,  IG-EPN
igepn2016hxll,  97777,  4.9,  NaN,        M,     weighted average,   37,  IG-EPN
igepn2016hxlt,  97778,  3.9, 0.17,      MLv,         trimmed mean,   23,  IG-EPN
igepn2016hxlt,  97778,  3.8, 0.17,     Mjma,         trimmed mean,   23,  IG-EPN
igepn2016hxlt,  97778,  3.7, 0.23,   Ms(BB),         trimmed mean,   21,  IG-EPN
igepn2016hxlt,  97778,  3.8,  NaN,        M,     weighted average,   23,  IG-EPN
igepn2016hxio,  97767,  3.2, 1.09,      MLv,         trimmed mean,    5,  IG-EPN
igepn2016hxio,  97767,  3.7, 1.08,     Mjma,         trimmed mean,    5,  IG-EPN
igepn2016hxio,  97767,  3.9, 1.86,   Ms(BB),                 mean,    3,  IG-EPN
igepn2016hxio,  97767,  3.6,  NaN,        M,     weighted average,    5,  IG-EPN
igepn2016hxmb,  97779,  3.9, 0.23,      MLv,         trimmed mean,   22,  IG-EPN
igepn2016hxmb,  97779,  3.7, 0.16,     Mjma,         trimmed mean,   22,  IG-EPN
igepn2016hxmb,  97779,  3.6, 0.26,   Ms(BB),         trimmed mean,   21,  IG-EPN
igepn2016hxmb,  97779,  3.7,  NaN,        M,     weighted average,   22,  IG-EPN
igepn2016hxmr,  97781,  4.1, 0.28,      MLv,         trimmed mean,   24,  IG-EPN
igepn2016hxmr,  97781,  3.9, 0.18,     Mjma,         trimmed mean,   24,  IG-EPN
igepn2016hxmr,  97781,  4.0, 0.41,   Ms(BB),         trimmed mean,   16,  IG-EPN
igepn2016hxmr,  97781,  4.0,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2016hxmu,  97782,  4.0, 0.52,      MLv,         trimmed mean,   11,  IG-EPN
igepn2016hxmu,  97782,  3.8, 0.49,     Mjma,         trimmed mean,   11,  IG-EPN
igepn2016hxmu,  97782,  4.0, 0.70,   Ms(BB),         trimmed mean,   16,  IG-EPN
igepn2016hxmu,  97782,  3.9,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2016hxnc,  97783,  3.8, 0.25,      MLv,         trimmed mean,   12,  IG-EPN
igepn2016hxnc,  97783,  3.7, 0.17,     Mjma,         trimmed mean,   12,  IG-EPN
igepn2016hxnc,  97783,  3.8, 0.71,   Ms(BB),         trimmed mean,   14,  IG-EPN
igepn2016hxnc,  97783,  3.8,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2016hxrh,  97791,  4.6, 0.33,      MLv,                 mean,   14,  IG-EPN
igepn2016hxrh,  97791,  4.5, 0.29,     Mjma,                 mean,   16,  IG-EPN
igepn2016hxrh,  97791,  4.2, 0.41,   Ms(BB),                 mean,   16,  IG-EPN
